origin_date_first,target_date,actual_first,persistence_first,arima_first,vs_first,actual_second,persistence_second,arima_second,vs_second,ensemble_second,actual_parity,parity_second
2024-12-08,2024-12-15,6.11,6.11,6.1133755731082005,2.365199840353861,6.11,6.11,6.11337605020697,6.116941481473136,6.11444567958682,6.11,6.105617058841731
2024-12-15,2024-12-22,6.13,6.11,6.11,3.5875547541889583,6.13,6.11,6.11,6.117156610354473,6.112146983106342,6.13,6.126141488803956
2024-12-22,2024-12-29,6.13,6.13,6.136751146216399,3.5584396647373624,6.13,6.13,6.136752100413939,6.137700960080694,6.137036758313965,6.13,6.133537526077794
2024-12-29,2025-01-05,6.14,6.13,6.13,3.658083604603217,6.14,6.13,6.13,6.1379776384529405,6.132393291535882,6.14,6.1368261303030485
2025-01-05,2025-01-12,6.15,6.14,6.143375573108199,3.5188109295420813,6.15,6.14,6.143376050206969,6.148272486218448,6.144844981010412,6.15,6.152590976098285
2025-01-12,2025-01-19,6.17,6.15,6.1533755731082005,3.379017125253536,6.17,6.15,6.15337605020697,6.1578824750624825,6.154727977663623,6.17,6.166427883204715
2025-01-19,2025-01-26,6.18,6.17,6.176751146216399,2.220281683877208,6.18,6.17,6.176752100413939,6.178079982790298,6.177150465126847,6.18,6.186071389402706
2025-01-26,2025-02-02,6.44,6.18,6.183375573108199,2.245471611598179,6.44,6.18,6.183376050206969,6.186524002551144,6.184320435910221,6.44,6.1665955025869765
2025-02-02,2025-02-09,6.47,6.44,6.527764900813195,3.726694346976637,6.47,6.44,6.527777305381209,6.456645111346359,6.506437647170753,6.47,6.506806922642821
2025-02-09,2025-02-16,6.47,6.47,6.480126719324598,1.8911741358130387,6.47,6.47,6.480001577950872,6.474382033933449,6.478315714745644,6.47,6.469797853638705
2025-02-16,2025-02-23,6.46,6.47,6.47,1.8526727842393031,6.46,6.47,6.47,6.476919142453715,6.472075742736115,6.46,6.472631991405993
2025-02-23,2025-03-02,6.44,6.46,6.456624426891801,2.808597436334132,6.44,6.46,6.456666140683042,6.464765963402392,6.459096087498846,6.44,6.453805210045124
2025-03-02,2025-03-09,6.43,6.44,6.433248853783601,2.788934054882576,6.43,6.44,6.433332281366086,6.450128688246375,6.438371203430172,6.43,6.433528535415345
